date,value,series,baseline,index
2011-05-01,35946.280907877706,energia,28788.907508208606,124.8615665517294
2011-06-01,36043.394200827606,energia,28788.907508208606,125.19889540980505
2011-07-01,36140.76985726634,energia,28788.907508208606,125.53713560322319
2011-08-01,36246.51201651882,energia,28788.907508208606,125.90443734686292
2011-09-01,36352.5635605544,energia,28788.907508208606,126.27281375713602
2011-10-01,36474.01365110374,energia,28788.907508208606,126.69467794394029
2011-11-01,36595.86949362894,energia,28788.907508208606,127.11795153461216
2011-12-01,36692.29514188467,energia,28788.907508208606,127.4528918175258
2012-01-01,36788.97485995129,energia,28788.907508208606,127.78871462719319
2012-02-01,36874.31118921855,energia,28788.907508208606,128.08513549430296
2012-03-01,36959.84546608072,energia,28788.907508208606,128.38224394427723
2012-04-01,37071.931452106444,energia,28788.907508208606,128.77158135138018
2012-05-01,37184.357354820335,energia,28788.907508208606,129.16209947952325
2012-06-01,37301.12233262524,energia,28788.907508208606,129.56768964570657
2012-07-01,37418.25397160191,energia,28788.907508208606,129.97455343150068
2012-08-01,37500.54017935788,energia,28788.907508208606,130.2603795182756
2012-09-01,37583.00734210956,energia,28788.907508208606,130.54683416310078
2012-10-01,37659.18964822743,energia,28788.907508208606,130.81145798078526
2012-11-01,37735.526379022194,energia,28788.907508208606,131.07661820186345
2012-12-01,37841.14813939805,energia,28788.907508208606,131.4435017327711
2013-01-01,37947.065535142894,energia,28788.907508208606,131.8114121708961
2013-02-01,38064.95760063483,energia,28788.907508208606,132.22091734388093
2013-03-01,38183.21592736225,energia,28788.907508208606,132.6316947472739
2013-04-01,38304.496287255795,energia,28788.907508208606,133.05296936444705
2013-05-01,38426.16186681552,energia,28788.907508208606,133.47558206527648
2013-06-01,38562.65964817613,energia,28788.907508208606,133.9497153102483
2013-07-01,38699.64229826709,energia,28788.907508208606,134.42553277588817
2013-08-01,38828.804997091785,energia,28788.907508208606,134.87418717094596
2013-09-01,38958.39878524391,energia,28788.907508208606,135.32433898068436
2013-10-01,39034.126697553074,energia,28788.907508208606,135.5873844341722
2013-11-01,39110.001810899346,energia,28788.907508208606,135.850941199307
2013-12-01,39137.64873831946,energia,28788.907508208606,135.94697446285556
2014-01-01,39165.31520940003,energia,28788.907508208606,136.04307561248302
2014-02-01,39180.98441174729,energia,28788.907508208606,136.0975035283141
2014-03-01,39196.65988300622,energia,28788.907508208606,136.15195321958655
2014-04-01,39215.98449333126,energia,28788.907508208606,136.21907841466222
2014-05-01,39235.318631013106,energia,28788.907508208606,136.2862367035842
2014-06-01,39255.17347684214,energia,28788.907508208606,136.355203703542
2014-07-01,39275.03837012112,energia,28788.907508208606,136.42420560392085
2014-08-01,39291.0968819373,energia,28788.907508208606,136.47998580958375
2014-09-01,39307.16195964909,energia,28788.907508208606,136.53578882227959
2014-10-01,39267.189607508466,energia,28788.907508208606,136.396942455396
2014-11-01,39227.25790416708,energia,28788.907508208606,136.25823728455893
2014-12-01,39157.8751145021,energia,28788.907508208606,136.01723199581986
2015-01-01,39088.615044898674,energia,28788.907508208606,135.7766529825882
2015-02-01,39005.02041363448,energia,28788.907508208606,135.4862820081413
2015-03-01,38921.60455724811,energia,28788.907508208606,135.19653201897418
2015-04-01,38813.35927039542,energia,28788.907508208606,134.8205355112157
2015-05-01,38705.41502565691,energia,28788.907508208606,134.4455846913288
2015-06-01,38599.30750767235,energia,28788.907508208606,134.07701385218073
2015-07-01,38493.49087418981,energia,28788.907508208606,133.70945341782814
2015-08-01,38455.875478520524,energia,28788.907508208606,133.57879408086455
2015-09-01,38418.296840182455,energia,28788.907508208606,133.44826242269949
2015-10-01,38440.4785808382,energia,28788.907508208606,133.5253120316484
2015-11-01,38462.67312866283,energia,28788.907508208606,133.60240612706798
2015-12-01,38503.527215352966,energia,28788.907508208606,133.744315251888
2016-01-01,38544.42469622936,energia,28788.907508208606,133.88637510902126
2016-02-01,38563.16630414668,energia,28788.907508208606,133.95147521020425
2016-03-01,38581.91702487006,energia,28788.907508208606,134.01660696526662
2016-04-01,38570.49367740919,energia,28788.907508208606,133.97692728149394
2016-05-01,38559.07371217702,energia,28788.907508208606,133.93725934609586
2016-06-01,38554.5106025455,energia,28788.907508208606,133.92140911061813
2016-07-01,38549.948032915716,energia,28788.907508208606,133.90556075086883
2016-08-01,38560.99234528734,energia,28788.907508208606,133.94392383348486
2016-09-01,38572.039821783415,energia,28788.907508208606,133.98229790687728
