date,value,series
2015-02-01,100.64945,ibc
2015-03-01,100.46625,ibc
2015-04-01,99.12964,ibc
2015-05-01,98.45711,ibc
2015-06-01,97.51139,ibc
2015-07-01,96.37133,ibc
2015-08-01,96.85754,ibc
2015-09-01,96.1621,ibc
2015-10-01,96.51788,ibc
2015-11-01,95.53499,ibc
2015-12-01,95.33322,ibc
2016-01-01,94.88503,ibc
2016-02-01,94.74894,ibc
2016-03-01,94.07764,ibc
2016-04-01,94.02558,ibc
2016-05-01,93.7981,ibc
2016-06-01,93.95613,ibc
2016-07-01,93.64776,ibc
2016-08-01,93.39899,ibc
2016-09-01,93.55464,ibc
2016-10-01,93.05945,ibc
2016-11-01,93.11925,ibc
2016-12-01,92.86383,ibc
2017-01-01,93.41286,ibc
2017-02-01,94.52304,ibc
2017-03-01,94.60922,ibc
2017-04-01,94.47996,ibc
2017-05-01,94.25472,ibc
2017-06-01,94.85835,ibc
2017-07-01,94.90523,ibc
2017-08-01,94.64373,ibc
2017-09-01,94.64511,ibc
2017-10-01,94.84934,ibc
2017-11-01,95.03448,ibc
2017-12-01,96.30407,ibc
2018-01-01,95.81267,ibc
2018-02-01,95.43756,ibc
2018-03-01,95.46274,ibc
2018-04-01,96.00704,ibc
2018-05-01,93.05679,ibc
2018-06-01,95.75667,ibc
2018-07-01,96.06905,ibc
2018-08-01,96.80783,ibc
2018-09-01,96.28644,ibc
2018-10-01,96.60347,ibc
2018-11-01,96.88802,ibc
2018-12-01,97.16331,ibc
2019-01-01,96.94771,ibc
2019-02-01,96.39425,ibc
2019-03-01,95.79732,ibc
2019-04-01,95.77798,ibc
2019-05-01,97.10725,ibc
2019-06-01,96.5971,ibc
2019-07-01,96.39424,ibc
2019-08-01,96.62189,ibc
2019-09-01,96.94457,ibc
2019-10-01,98.08033,ibc
2019-11-01,97.91976,ibc
2019-12-01,97.59895,ibc
2020-01-01,97.60548,ibc
2020-02-01,97.74638,ibc
2020-03-01,91.27259,ibc
2020-04-01,82.96008,ibc
2020-05-01,85.48797,ibc
2020-06-01,89.37903,ibc
2020-07-01,91.74207,ibc
2020-08-01,93.49745,ibc
2020-09-01,95.36272,ibc
2020-10-01,97.30806,ibc
2020-11-01,97.51715,ibc
2020-12-01,97.68045,ibc
2021-01-01,97.80489,ibc
2021-02-01,98.71949,ibc
2021-03-01,95.32458,ibc
2021-04-01,96.34302,ibc
2021-05-01,97.01772,ibc
2021-06-01,96.77124,ibc
2021-07-01,96.43007,ibc
2021-08-01,97.01608,ibc
2021-09-01,96.95313,ibc
2021-10-01,97.47791,ibc
2021-11-01,99.05295,ibc
2021-12-01,99.36759,ibc
2022-01-01,97.41759,ibc
2022-02-01,98.48287,ibc
2022-03-01,99.54331,ibc
2022-04-01,99.44726,ibc
2022-05-01,99.65249,ibc
2022-06-01,99.53078,ibc
2022-07-01,101.43252,ibc
2022-08-01,101.09886,ibc
2022-09-01,101.15209,ibc
2022-10-01,101.43094,ibc
2022-11-01,100.7113,ibc
2022-12-01,100.58566,ibc
2023-01-01,100.10937,ibc
2023-02-01,103.08344,ibc
2023-03-01,103.08526,ibc
2023-04-01,103.96006,ibc
2023-05-01,102.40467,ibc
2023-06-01,102.4398,ibc
2023-07-01,102.89895,ibc
2023-08-01,102.48797,ibc
2023-09-01,102.50227,ibc
2023-10-01,102.83037,ibc
2023-11-01,103.58799,ibc
2023-12-01,104.88262,ibc
